id,term,before_example,after_example,after_ko,after_en,after_ja
a1_0032,"llover","La palabra ""llover"" aparece en la lista.","Va a llover toda la semana.","일주일 내내 비가 올 거예요.","It is going to rain all week.","一週間ずっと雨が降りそうです。"
a1_0033,"mar","La palabra ""mar"" aparece en la lista.","Me gusta nadar en el mar.","나는 바다에서 수영하는 걸 좋아해요.","I like swimming in the sea.","海で泳ぐのが好きです。"
a1_0034,"marrón","La palabra ""marrón"" aparece en la lista.","Tengo un abrigo marrón para el invierno.","겨울용 갈색 코트가 있어요.","I have a brown coat for winter.","冬用の茶色いコートを持っています。"
a1_0035,"más","La palabra ""más"" aparece en la lista.","Quiero más arroz, por favor.","밥을 더 주세요.","I want more rice, please.","ご飯をもっとください。"
a1_0036,"menos","La palabra ""menos"" aparece en la lista.","Hoy hace menos calor que ayer.","오늘은 어제보다 덜 더워요.","Today it is less hot than yesterday.","今日は昨日より暑くありません。"
a1_0037,"mes","La palabra ""mes"" aparece en la lista.","Agosto es mi mes favorito.","8월은 내가 가장 좋아하는 달이에요.","August is my favorite month.","8月は私の一番好きな月です。"
a1_0038,"meses","La palabra ""meses"" aparece en la lista.","Vivo aquí desde hace seis meses.","여기 산 지 6개월 됐어요.","I have lived here for six months.","ここに住んで6か月になります。"
a1_0039,"minuto","La palabra ""minuto"" aparece en la lista.","El examen empieza en un minuto.","시험이 1분 후에 시작해요.","The exam starts in one minute.","試験は1分後に始まります。"
a1_0040,"momento","La palabra ""momento"" aparece en la lista.","Espera un momento, por favor.","잠깐만 기다려 주세요.","Wait a moment, please.","少々お待ちください。"
a1_0041,"monumento","La palabra ""monumento"" aparece en la lista.","Este monumento es del siglo XV.","이 기념물은 15세기 것이에요.","This monument is from the 15th century.","この記念碑は15世紀のものです。"
a1_0042,"musulmán","La palabra ""musulmán"" aparece en la lista.","Mi compañero de piso es musulmán.","내 룸메이트는 무슬림이에요.","My roommate is Muslim.","私のルームメイトはイスラム教徒です。"
a1_0043,"muy","La palabra ""muy"" aparece en la lista.","La película es muy divertida.","그 영화는 매우 재미있어요.","The movie is very fun.","その映画はとても面白いです。"
a1_0044,"nevar","La palabra ""nevar"" aparece en la lista.","En enero va a nevar en la sierra.","1월에는 산에 눈이 올 거예요.","In January it is going to snow in the mountains.","1月には山に雪が降るでしょう。"
a1_0045,"no","La palabra ""no"" aparece en la lista.","No, gracias, ya tengo café.","아니요, 괜찮아요. 이미 커피가 있어요.","No, thanks, I already have coffee.","いいえ、結構です。もうコーヒーがあります。"
a1_0046,"noche","La palabra ""noche"" aparece en la lista.","Trabajo hasta las diez de la noche.","밤 10시까지 일해요.","I work until ten at night.","夜10時まで働きます。"
a1_0047,"Norte","La palabra ""Norte"" aparece en la lista.","Bilbao está en el Norte de España.","빌바오는 스페인 북쪽에 있어요.","Bilbao is in the north of Spain.","ビルバオはスペインの北にあります。"
a1_0048,"Oeste","La palabra ""Oeste"" aparece en la lista.","Portugal está al Oeste de España.","포르투갈은 스페인 서쪽에 있어요.","Portugal is to the west of Spain.","ポルトガルはスペインの西にあります。"
a1_0049,"planta","La palabra ""planta"" aparece en la lista.","Esta planta necesita agua y sol.","이 식물은 물과 햇빛이 필요해요.","This plant needs water and sun.","この植物には水と日光が必要です。"
a1_0050,"presidente","La palabra ""presidente"" aparece en la lista.","El presidente habla hoy en la radio.","대통령이 오늘 라디오에서 연설해요.","The president speaks on the radio today.","大統領は今日ラジオで話します。"
a1_0051,"pronto","La palabra ""pronto"" aparece en la lista.","El autobús llega pronto.","버스가 곧 도착해요.","The bus arrives soon.","バスはもうすぐ着きます。"
a1_0052,"rápido","La palabra ""rápido"" aparece en la lista.","Este coche es muy rápido.","이 차는 아주 빨라요.","This car is very fast.","この車はとても速いです。"
a1_0053,"reina","La palabra ""reina"" aparece en la lista.","La reina visita el hospital hoy.","여왕이 오늘 병원을 방문해요.","The queen visits the hospital today.","女王は今日病院を訪問します。"
a1_0054,"rey","La palabra ""rey"" aparece en la lista.","El rey vive en un palacio grande.","왕은 큰 궁전에 살아요.","The king lives in a big palace.","王は大きな宮殿に住んでいます。"
a1_0055,"río","La palabra ""río"" aparece en la lista.","El río pasa por el centro de la ciudad.","강이 도시 중심을 지나가요.","The river passes through the city center.","川は市の中心を流れています。"
a1_0056,"sí","La palabra ""sí"" aparece en la lista.","Sí, quiero un poco de agua.","네, 물 조금 주세요.","Yes, I want a little water.","はい、水を少しください。"
a1_0057,"sin","La palabra ""sin"" aparece en la lista.","No puedo vivir sin mi familia.","가족 없이는 살 수 없어요.","I cannot live without my family.","家族なしでは生きられません。"
a1_0058,"sobre","La palabra ""sobre"" aparece en la lista.","Pongo la carta en el sobre.","편지를 봉투에 넣어요.","I put the letter in the envelope.","手紙を封筒に入れます。"
a1_0059,"Sur","La palabra ""Sur"" aparece en la lista.","Cádiz está en el Sur de España.","카디스는 스페인 남쪽에 있어요.","Cadiz is in the south of Spain.","カディスはスペインの南にあります。"
a1_0060,"tarde","La palabra ""tarde"" aparece en la lista.","Tengo clase de piano por la tarde.","오후에 피아노 수업이 있어요.","I have piano class in the afternoon.","午後にピアノのレッスンがあります。"
a1_0061,"té","La palabra ""té"" aparece en la lista.","¿Quieres té o café?","차 마실래, 커피 마실래?","Do you want tea or coffee?","お茶にしますか、コーヒーにしますか。"
a1_0062,"temprano","La palabra ""temprano"" aparece en la lista.","Me levanto temprano para trabajar.","일하러 가려고 일찍 일어나요.","I get up early to work.","仕事のために早く起きます。"
a1_0063,"código postal","La palabra ""código postal"" aparece en la lista.","Escribe tu código postal en el formulario.","양식에 우편번호를 적으세요.","Write your zip code on the form.","フォームに郵便番号を書いてください。"
a1_0064,"estado civil","La palabra ""estado civil"" aparece en la lista.","¿Cuál es tu estado civil?","결혼 상태가 어떻게 되세요?","What is your marital status?","あなたの婚姻状況は何ですか。"
a1_0065,"fecha de nacimiento","La palabra ""fecha de nacimiento"" aparece en la lista.","Mi fecha de nacimiento es el dos de mayo.","제 생년월일은 5월 2일이에요.","My date of birth is May 2nd.","私の生年月日は5月2日です。"
a1_0066,"fin de semana","La palabra ""fin de semana"" aparece en la lista.","Este fin de semana vamos a la playa.","이번 주말에 우리는 해변에 가요.","This weekend we are going to the beach.","今週末はビーチに行きます。"
a1_0067,"lugar de nacimiento","La palabra ""lugar de nacimiento"" aparece en la lista.","Mi lugar de nacimiento es Buenos Aires.","제 출생지는 부에노스아이레스예요.","My place of birth is Buenos Aires.","私の出生地はブエノスアイレスです。"
a1_0068,"número de teléfono","La palabra ""número de teléfono"" aparece en la lista.","¿Me das tu número de teléfono?","전화번호 좀 알려 줄래요?","Can you give me your phone number?","電話番号を教えてくれますか。"
a1_0069,"página web","La palabra ""página web"" aparece en la lista.","La página web del hotel tiene fotos.","호텔 웹페이지에 사진이 있어요.","The hotel's web page has photos.","ホテルのウェブページには写真があります。"
a1_0070,"tarjeta de crédito","La palabra ""tarjeta de crédito"" aparece en la lista.","Pago la cena con tarjeta de crédito.","저녁 식사를 신용카드로 결제해요.","I pay for dinner with a credit card.","夕食をクレジットカードで払います。"
a1_0071,"teléfono móvil","La palabra ""teléfono móvil"" aparece en la lista.","Mi teléfono móvil no tiene batería.","내 휴대전화 배터리가 없어요.","My mobile phone has no battery.","私の携帯電話はバッテリーがありません。"
a1_0072,"todo recto","La palabra ""todo recto"" aparece en la lista.","Sigue todo recto hasta la plaza.","광장까지 쭉 직진하세요.","Go straight ahead until the square.","広場までまっすぐ進んでください。"
a1_0073,"abrir","Voy a abrir esta tarde.","¿Puedes abrir la ventana, por favor?","창문 좀 열어 줄래요?","Can you open the window, please?","窓を開けてもらえますか。"
a1_0074,"abuelo","Conozco a un abuelo del barrio.","Mi abuelo cuenta historias muy buenas.","할아버지는 아주 재미있는 이야기를 해 주세요.","My grandfather tells very good stories.","祖父はとても面白い話をしてくれます。"
a1_0075,"adivinar","Voy a adivinar esta tarde.","No puedo adivinar tu edad.","네 나이를 짐작할 수가 없어.","I cannot guess your age.","あなたの年齢は当てられません。"
a1_0076,"afeitarse","Voy a afeitarme esta tarde.","Mi padre suele afeitarse por la mañana.","아버지는 보통 아침에 면도를 하세요.","My father usually shaves in the morning.","父はたいてい朝ひげをそります。"
a1_0077,"agenda","Uso la agenda en una situacion diaria.","Escribo mis planes en la agenda.","수첩에 내 계획을 적어요.","I write my plans in my planner.","手帳に予定を書きます。"
a1_0079,"alergia","Uso la alergia en una situacion diaria.","Tengo alergia a los gatos.","나는 고양이 알레르기가 있어요.","I am allergic to cats.","私は猫アレルギーがあります。"
a1_0080,"ambulancia","Uso la ambulancia en una situacion diaria.","La ambulancia llega al hospital.","구급차가 병원에 도착해요.","The ambulance arrives at the hospital.","救急車が病院に着きます。"
a1_0082,"andar","Voy a andar esta tarde.","Me gusta andar por el parque.","공원을 걷는 걸 좋아해요.","I like walking through the park.","公園を歩くのが好きです。"
a1_0083,"antes","Uso antes para unir dos ideas.","Termino los deberes antes de cenar.","저녁 먹기 전에 숙제를 끝내요.","I finish my homework before dinner.","夕食の前に宿題を終えます。"
a1_0084,"apellidarse","Voy a apellidarme esta tarde.","En España es común apellidarse García.","스페인에서는 성이 가르시아인 경우가 흔해요.","In Spain it is common to have the surname Garcia.","スペインではガルシアという名字がよくあります。"
a1_0085,"apellido","Mi apellido es Garcia.","Mi apellido es García.","제 성은 가르시아예요.","My surname is Garcia.","私の名字はガルシアです。"
a1_0086,"aprender","Quiero aprender espanol este ano.","Quiero aprender español este año.","올해 스페인어를 배우고 싶어요.","I want to learn Spanish this year.","今年スペイン語を学びたいです。"
a1_0087,"aprobar","Voy a aprobar esta tarde.","Necesito estudiar mucho para aprobar el examen.","시험에 합격하려면 공부를 많이 해야 해요.","I need to study a lot to pass the exam.","試験に合格するにはたくさん勉強する必要があります。"
a1_0088,"arroba","Uso la arroba en una situacion diaria.","Mi correo lleva una arroba y un punto.","제 이메일에는 골뱅이표와 점이 있어요.","My email has an at sign and a dot.","私のメールにはアットマークとドットがあります。"
a1_0089,"aula","Uso la aula en una situacion diaria.","Los estudiantes entran en el aula.","학생들이 교실에 들어가요.","The students enter the classroom.","学生たちが教室に入ります。"
a1_0091,"avenida","Uso la avenida en una situacion diaria.","La avenida principal tiene muchas tiendas.","중심 대로에는 가게가 많아요.","The main avenue has many shops.","大通りにはお店がたくさんあります。"
a1_0093,"ayer","Voy a ayer esta tarde.","Ayer comí con mis padres.","어제 부모님과 식사했어요.","Yesterday I ate with my parents.","昨日、両親と食事しました。"
a1_0094,"azúcar","Voy a azúcar esta tarde.","¿Quieres azúcar en el café?","커피에 설탕 넣을래요?","Do you want sugar in your coffee?","コーヒーに砂糖を入れますか。"
a1_0095,"bailar","Voy a bailar esta tarde.","Me gusta bailar salsa los sábados.","토요일마다 살사 추는 걸 좋아해요.","I like dancing salsa on Saturdays.","土曜日にサルサを踊るのが好きです。"
a1_0096,"bajar","Voy a bajar esta tarde.","Voy a bajar por las escaleras.","계단으로 내려갈게요.","I am going to go down the stairs.","階段で下ります。"
a1_0098,"bañarse","Voy a bañarme esta tarde.","Los niños quieren bañarse en la piscina.","아이들이 수영장에서 물놀이하고 싶어 해요.","The children want to bathe in the pool.","子どもたちはプールで水浴びしたがっています。"
a1_0099,"bañera","Uso la bañera en una situacion diaria.","La bañera del hotel es muy grande.","호텔 욕조가 아주 커요.","The hotel bathtub is very big.","ホテルの浴槽はとても大きいです。"
a1_0100,"bar","Voy a bar esta tarde.","Quedamos en el bar de la esquina.","모퉁이 바에서 만나기로 했어요.","We meet at the bar on the corner.","角のバルで会う約束をしました。"
a1_0101,"barato","El resultado es barato.","Este restaurante es bueno y barato.","이 식당은 좋고 싸요.","This restaurant is good and cheap.","このレストランは良くて安いです。"
a1_0102,"barba","Uso la barba en una situacion diaria.","Mi tío tiene una barba larga.","삼촌은 수염이 길어요.","My uncle has a long beard.","おじは長いひげを生やしています。"
a1_0103,"beber","Voy a beber esta tarde.","Debes beber mucha agua en verano.","여름에는 물을 많이 마셔야 해요.","You should drink a lot of water in summer.","夏は水をたくさん飲むべきです。"
a1_0104,"bien","El resultado es bien.","Mi abuela cocina muy bien.","할머니는 요리를 아주 잘하세요.","My grandmother cooks very well.","祖母は料理がとても上手です。"
a1_0105,"billete","Necesito el billete para viajar.","Compro un billete de tren para Madrid.","마드리드행 기차표를 사요.","I buy a train ticket to Madrid.","マドリード行きの列車の切符を買います。"
a1_0106,"blusa","Uso la blusa en una situacion diaria.","Esta blusa blanca es de mi hermana.","이 흰 블라우스는 언니 거예요.","This white blouse is my sister's.","この白いブラウスは姉のものです。"
a1_0107,"bolígrafo","Uso el bolígrafo en clase.","Escribo el examen con bolígrafo azul.","시험은 파란 펜으로 써요.","I write the exam with a blue pen.","試験は青いペンで書きます。"
a1_0108,"botella","Uso la botella en una situacion diaria.","Hay una botella de agua en la mesa.","탁자 위에 물 한 병이 있어요.","There is a bottle of water on the table.","テーブルの上に水のボトルがあります。"
a1_0109,"braga","Uso la braga en una situacion diaria.","La braga está en el cajón de la ropa.","팬티는 옷 서랍에 있어요.","The panties are in the clothes drawer.","下着は衣類の引き出しにあります。"
a1_0110,"bueno","El resultado es bueno.","El pan de esta tienda es muy bueno.","이 가게 빵은 아주 좋아요.","The bread from this shop is very good.","この店のパンはとても良いです。"
a1_0111,"bufanda","Uso la bufanda en una situacion diaria.","En invierno llevo una bufanda de lana.","겨울에는 양모 스카프를 둘러요.","In winter I wear a wool scarf.","冬はウールのマフラーをします。"
a1_0112,"cabeza","Uso la cabeza en una situacion diaria.","Me duele la cabeza desde ayer.","어제부터 머리가 아파요.","My head has hurt since yesterday.","昨日から頭が痛いです。"
a1_0113,"cabina","Uso la cabina en una situacion diaria.","Llamo desde una cabina de teléfono.","전화 부스에서 전화해요.","I am calling from a phone booth.","電話ボックスから電話しています。"
a1_0114,"cafetería","Tomo cafetería en el desayuno.","Como un bocadillo en la cafetería.","카페테리아에서 샌드위치를 먹어요.","I eat a sandwich in the cafeteria.","カフェテリアでサンドイッチを食べます。"
a1_0115,"calle","Camino por la calle cada manana.","Mi calle tiene muchos árboles.","우리 동네 거리에는 나무가 많아요.","My street has many trees.","私の通りには木がたくさんあります。"
a1_0117,"cambiar","Voy a cambiar esta tarde.","Quiero cambiar euros por dólares.","유로를 달러로 바꾸고 싶어요.","I want to change euros for dollars.","ユーロをドルに両替したいです。"
a1_0118,"caminar","Voy a caminar esta tarde.","Me gusta caminar junto al mar.","바닷가를 따라 걷는 걸 좋아해요.","I like walking by the sea.","海沿いを歩くのが好きです。"
a1_0119,"camisa","Uso la camisa en una situacion diaria.","Llevo una camisa blanca al trabajo.","출근할 때 흰 셔츠를 입어요.","I wear a white shirt to work.","仕事に白いシャツを着ていきます。"
a1_0120,"cantar","Voy a cantar esta tarde.","Me gusta cantar en la ducha.","샤워하면서 노래하는 걸 좋아해요.","I like singing in the shower.","シャワーで歌うのが好きです。"
a1_0121,"cara","Uso la cara en una situacion diaria.","El bebé tiene la cara redonda.","아기는 얼굴이 동그래요.","The baby has a round face.","赤ちゃんは顔が丸いです。"
a1_0123,"carnicería","Uso la carnicería en una situacion diaria.","Compro pollo en la carnicería.","정육점에서 닭고기를 사요.","I buy chicken at the butcher shop.","肉屋で鶏肉を買います。"
a1_0124,"caro","El resultado es caro.","Este hotel es demasiado caro.","이 호텔은 너무 비싸요.","This hotel is too expensive.","このホテルは高すぎます。"
a1_0125,"carta","Uso la carta en una situacion diaria.","Escribo una carta a mi abuela.","할머니께 편지를 써요.","I write a letter to my grandmother.","祖母に手紙を書きます。"
a1_0126,"cartera","Uso la cartera en una situacion diaria.","Mi cartera está en el bolso.","내 지갑은 가방 안에 있어요.","My wallet is in my bag.","財布はかばんの中にあります。"
a1_0128,"casarse","Voy a casarme esta tarde.","Mis primos van a casarse en junio.","사촌들이 6월에 결혼해요.","My cousins are getting married in June.","いとこたちは6月に結婚します。"
a1_0129,"cava","Uso la cava en una situacion diaria.","El cava es típico de Cataluña.","카바는 카탈루냐의 대표 음료예요.","Cava is typical of Catalonia.","カバはカタルーニャの名物です。"
a1_0130,"cazadora","Uso la cazadora en una situacion diaria.","Llevo una cazadora negra de piel.","검은 가죽 재킷을 입어요.","I wear a black leather jacket.","黒い革のジャケットを着ています。"
a1_0131,"cebolla","Uso la cebolla en una situacion diaria.","Corto una cebolla para la sopa.","수프에 넣을 양파를 썰어요.","I cut an onion for the soup.","スープ用に玉ねぎを切ります。"
a1_0132,"cena","Tomo cena en el desayuno.","La cena está lista a las nueve.","저녁 식사는 9시에 준비돼요.","Dinner is ready at nine.","夕食は9時に準備できます。"
a1_0133,"cenar","Voy a cenar esta tarde.","Hoy vamos a cenar fuera.","오늘은 외식으로 저녁을 먹어요.","Today we are going to have dinner out.","今日は外で夕食をとります。"
a1_0135,"cerrar","Voy a cerrar esta tarde.","¿Puedes cerrar la puerta, por favor?","문 좀 닫아 줄래요?","Can you close the door, please?","ドアを閉めてもらえますか。"
a1_0136,"certificado","Necesito el certificado para el tramite.","Necesito un certificado del curso.","수료 인증서가 필요해요.","I need a certificate for the course.","講座の証明書が必要です。"
a1_0137,"cerveza","Uso la cerveza en una situacion diaria.","La cerveza no es buena para la salud.","맥주는 건강에 좋지 않아요.","Beer is not good for your health.","ビールは健康に良くありません。"
a1_0138,"champán","Tomo champán en el desayuno.","El champán es para la fiesta.","샴페인은 파티용이에요.","The champagne is for the party.","シャンパンはパーティー用です。"
a1_0139,"chica","Conozco a una chica del barrio.","La chica lee un libro en el parque.","소녀가 공원에서 책을 읽어요.","The girl reads a book in the park.","女の子が公園で本を読んでいます。"
a1_0140,"chico","Conozco a un chico del barrio.","El chico juega al fútbol.","소년이 축구를 해요.","The boy plays soccer.","男の子がサッカーをしています。"
a1_0143,"ciudad","Camino por la ciudad cada manana.","Barcelona es una ciudad muy bonita.","바르셀로나는 아주 아름다운 도시예요.","Barcelona is a very beautiful city.","バルセロナはとても美しい都市です。"
a1_0144,"clase","Uso el clase en clase.","La clase de español empieza a las diez.","스페인어 수업은 10시에 시작해요.","The Spanish class starts at ten.","スペイン語の授業は10時に始まります。"
a1_0145,"clásica","Uso la clásica en una situacion diaria.","Escucho música clásica para estudiar.","공부할 때 고전 음악을 들어요.","I listen to classical music to study.","勉強のときクラシック音楽を聴きます。"
a1_0146,"cocina","La cocina de la casa es pequena.","Preparo la cena en la cocina.","부엌에서 저녁을 준비해요.","I prepare dinner in the kitchen.","台所で夕食を作ります。"
a1_0147,"cocinar","Voy a cocinar esta tarde.","Voy a cocinar paella el domingo.","일요일에 파에야를 요리할 거예요.","I am going to cook paella on Sunday.","日曜日にパエリアを作ります。"
a1_0148,"coger","Voy a coger esta tarde.","Voy a coger el metro al centro.","시내로 가는 지하철을 탈 거예요.","I am going to take the metro downtown.","中心街へ地下鉄に乗ります。"
a1_0149,"colegio","Uso el colegio en clase.","Los niños van al colegio a las ocho.","아이들은 8시에 학교에 가요.","The children go to school at eight.","子どもたちは8時に学校へ行きます。"
a1_0150,"colonia","Uso la colonia en una situacion diaria.","Esta colonia huele a flores.","이 향수는 꽃향기가 나요.","This cologne smells like flowers.","この香水は花の香りがします。"
a1_0151,"comer","Voy a comer esta tarde.","Hoy quiero comer pescado.","오늘은 생선을 먹고 싶어요.","Today I want to eat fish.","今日は魚が食べたいです。"
a1_0153,"comisaría","Uso la comisaría en una situacion diaria.","La comisaría está al lado del banco.","경찰서는 은행 옆에 있어요.","The police station is next to the bank.","警察署は銀行の隣にあります。"
a1_0155,"completar","Voy a completar esta tarde.","Tienes que completar este formulario.","이 양식을 작성해야 해요.","You have to complete this form.","このフォームに記入する必要があります。"
a1_0156,"comprar","Voy a comprar esta tarde.","Quiero comprar fruta en el mercado.","시장에서 과일을 사고 싶어요.","I want to buy fruit at the market.","市場で果物を買いたいです。"
a1_0157,"comprender","Voy a comprender esta tarde.","No puedo comprender esta frase.","이 문장을 이해할 수가 없어요.","I cannot understand this sentence.","この文が理解できません。"
a1_0158,"contento","El resultado es contento.","Estoy muy contento con mi trabajo.","나는 내 일에 아주 만족해요.","I am very happy with my job.","私は仕事にとても満足しています。"
a1_0159,"contestar","Voy a contestar esta tarde.","Voy a contestar el correo del cliente.","고객의 이메일에 답장할 거예요.","I am going to answer the client's email.","顧客のメールに返信します。"
a1_0160,"corbata","Uso la corbata en una situacion diaria.","Llevo corbata en las reuniones.","회의 때는 넥타이를 매요.","I wear a tie in meetings.","会議ではネクタイをします。"
a1_0161,"correos","Apunto mi correos en el formulario.","Envío el paquete desde correos.","우체국에서 소포를 부쳐요.","I send the package from the post office.","郵便局から小包を送ります。"
a1_0162,"correr","Voy a correr esta tarde.","Salgo a correr por el parque.","공원으로 달리기하러 나가요.","I go out running in the park.","公園へ走りに出かけます。"
a1_0163,"crecer","Voy a crecer esta tarde.","Las plantas necesitan sol para crecer.","식물이 자라려면 햇빛이 필요해요.","Plants need sun to grow.","植物が育つには日光が必要です。"
a1_0164,"cuaderno","Uso el cuaderno en clase.","Apunto las palabras nuevas en mi cuaderno.","새 단어들을 공책에 적어요.","I write new words in my notebook.","新しい単語をノートに書きます。"
a1_0165,"cuenta","Reviso el cuenta antes de pagar.","Camarero, la cuenta, por favor.","여기요, 계산서 주세요.","Waiter, the bill, please.","すみません、お会計をお願いします。"
a1_0167,"desayunar","Voy a desayunar esta tarde.","Los domingos me gusta desayunar tarde.","일요일에는 늦게 아침 먹는 걸 좋아해요.","On Sundays I like to have breakfast late.","日曜日は遅めに朝食をとるのが好きです。"
a1_0168,"desayuno","Tomo desayuno en el desayuno.","El desayuno del hotel es muy completo.","호텔 조식이 아주 알차요.","The hotel breakfast is very complete.","ホテルの朝食はとても充実しています。"
a1_0169,"después","Uso despues para unir dos ideas.","Primero estudio y después veo la tele.","먼저 공부하고 그 다음에 TV를 봐요.","First I study and afterwards I watch TV.","まず勉強して、その後テレビを見ます。"
a1_0170,"devolver","Voy a devolver esta tarde.","Tengo que devolver este libro a la biblioteca.","이 책을 도서관에 반납해야 해요.","I have to return this book to the library.","この本を図書館に返さなければなりません。"
